name            | gender |    dob     |    dod     |        father        |        mother         |       born_in
Andrew                    | M      | 1960-02-19 |            | Philip               | Elizabeth II          | London
Edward                    | M      | 1964-03-10 |            | Philip               | Elizabeth II          | London
Frances                   | F      | 1936-01-20 | 2004-06-03 |                      |                       | Sandringham
Diana                     | F      | 1961-07-01 | 1997-08-31 |                      | Frances               | Sandringham
Henry                     | M      | 1984-09-15 |            | Charles              | Diana                 | London
William                   | M      | 1982-06-21 |            | Charles              | Diana                 | London
Oliver Cromwell           | M      | 1599-04-25 | 1658-09-03 |                      |                       | Huntingdon
Richard Cromwell          | M      | 1626-10-04 | 1659-05-25 | Oliver Cromwell      |                       | Huntingdon
David Cameron             | M      | 1966-10-09 |            |                      |                       | London
Gordon Brown              | M      | 1951-02-20 |            |                      |                       | Giffnock
Tony Blair                | M      | 1953-05-06 |            |                      |                       | Edinburgh
John Major                | M      | 1943-03-29 |            |                      |                       | Carshalton
Margaret Thatcher         | F      | 1925-10-13 |            |                      |                       | Grantham
James Callaghan           | M      | 1912-03-27 | 2005-03-26 |                      |                       | Portsmouth
Harold Wilson             | M      | 1916-03-11 | 1995-05-24 |                      |                       | Huddersfield
Edward Heath              | M      | 1916-07-09 | 2005-07-17 |                      |                       | Huddersfield
Alec Douglas-Home         | M      | 1903-07-02 | 1995-10-09 |                      |                       | Coldstream
Harold Macmillan          | M      | 1894-02-10 | 1986-12-29 |                      |                       | London
Anthony Eden              | M      | 1897-06-12 | 1977-01-14 |                      |                       | London
Winston Churchill         | M      | 1874-11-30 | 1965-01-24 |                      |                       | Woodstock
Clement Attlee            | M      | 1883-01-03 | 1967-10-08 |                      |                       | London
Neville Chamberlain       | M      | 1869-03-18 | 1940-11-09 |                      |                       | Birmingham
Stanley Baldwin           | M      | 1867-08-03 | 1947-12-14 |                      |                       | Bewdley
Ramsay MacDonald          | M      | 1866-10-12 | 1937-11-09 |                      |                       | Lossiemouth
Andrew Bonar Law          | M      | 1858-09-16 | 1923-10-30 |                      |                       | Rexton
David Lloyd George        | M      | 1863-01-17 | 1945-03-26 |                      |                       | Rexton
Herbert Henry Asquith     | M      | 1852-09-12 | 1928-02-15 |                      |                       | Morley
Henry Campbell-Bannerman  | M      | 1836-09-07 | 1908-04-22 |                      |                       | Glasgow
Arthur Balfour            | M      | 1848-07-25 | 1930-03-19 |                      |                       | Whittingehame
Lord Salisbury            | M      | 1830-02-03 | 1903-08-22 |                      |                       | Hatfield
William Ewart Gladstone   | M      | 1809-12-29 | 1898-05-19 |                      |                       | Liverpool
Benjamin Disraeli         | M      | 1804-12-21 | 1881-04-19 |                      |                       | London
Earl of Rosebery          | M      | 1847-05-07 | 1929-05-21 |                      |                       | London
